Year;Month;First residence permit to Finland;Decision;Number
2017;10;Studies;Positive;79
2017;10;Studies;Negative;83
2017;10;Work;Positive;565
2017;10;Work;Negative;110
2017;11;Family;Positive;843
2017;11;Family;Negative;161
2017;11;Other;Positive;42
2017;11;Other;Negative;19
2017;11;Studies;Positive;628
2017;11;Studies;Negative;47
2017;11;Work;Positive;561
2017;11;Work;Negative;124
2017;12;Family;Positive;655
2017;12;Family;Negative;148
2017;12;Other;Positive;31
2017;12;Other;Negative;11
2017;12;Studies;Positive;468
2017;12;Studies;Negative;27
2017;12;Work;Positive;382
2017;12;Work;Negative;75
2018;1;Family;Positive;846
2018;1;Family;Negative;179
2018;1;Other;Positive;25
2018;1;Other;Negative;13
2018;1;Studies;Positive;168
2018;1;Studies;Negative;28
2018;1;Work;Positive;562
2018;1;Work;Negative;95
2018;2;Family;Positive;597
2018;2;Family;Negative;197
2018;2;Other;Positive;11
2018;2;Other;Negative;20
2018;2;Studies;Positive;93
2018;2;Studies;Negative;34
2018;2;Work;Positive;594
2018;2;Work;Negative;115
2018;3;Family;Positive;700
2018;3;Family;Negative;222
2018;3;Other;Positive;20
2018;3;Other;Negative;15
2018;3;Studies;Positive;53
2018;3;Studies;Negative;61
2018;3;Work;Positive;727
2018;3;Work;Negative;129
2018;4;Family;Positive;702
2018;4;Family;Negative;235
2018;4;Other;Positive;19
2018;4;Other;Negative;9
2018;4;Studies;Positive;103
2018;4;Studies;Negative;60
2018;4;Work;Positive;787
2018;4;Work;Negative;138
2018;5;Family;Positive;694
2018;5;Family;Negative;191
2018;5;Other;Positive;27
2018;5;Other;Negative;15
2018;5;Studies;Positive;155
2018;5;Studies;Negative;8
2018;5;Work;Positive;573
2018;5;Work;Negative;141
2018;6;Family;Positive;730
2018;6;Family;Negative;185
2018;6;Other;Positive;19
2018;6;Other;Negative;8
2018;6;Studies;Positive;1171
2018;6;Studies;Negative;17
2018;6;Work;Positive;639
2018;6;Work;Negative;156
2018;7;Family;Positive;719
2018;7;Family;Negative;172
2018;7;Other;Positive;37
2018;7;Other;Negative;13
2018;7;Studies;Positive;1329
2018;7;Studies;Negative;71
2018;7;Work;Positive;578
2018;7;Work;Negative;115
2018;8;Family;Positive;875
2018;8;Family;Negative;156
2018;8;Other;Positive;32
2018;8;Other;Negative;8
2018;8;Studies;Positive;710
2018;8;Studies;Negative;49
2018;8;Work;Positive;602
2018;8;Work;Negative;87
2018;9;Family;Positive;798
2018;9;Family;Negative;150
2018;9;Other;Positive;9
2018;9;Other;Negative;2
2018;9;Studies;Positive;239
2018;9;Studies;Negative;44
2018;9;Work;Positive;430
2018;9;Work;Negative;116
2018;10;Family;Positive;901
2018;10;Family;Negative;225
2018;10;Other;Positive;31
2018;10;Other;Negative;3
2018;10;Studies;Positive;120
2018;10;Studies;Negative;106
2018;10;Work;Positive;668
2018;10;Work;Negative;166
2018;11;Family;Positive;807
2018;11;Family;Negative;218
2018;11;Other;Positive;30
2018;11;Other;Negative;9
2018;11;Studies;Positive;354
2018;11;Studies;Negative;67
2018;11;Work;Positive;806
2018;11;Work;Negative;257
2018;12;Family;Positive;640
2018;12;Family;Negative;166
2018;12;Other;Positive;10
2018;12;Other;Negative;9
2018;12;Studies;Positive;707
2018;12;Studies;Negative;104
2018;12;Work;Positive;721
2018;12;Work;Negative;245
2019;1;Family;Positive;814
2019;1;Family;Negative;243
2019;1;Other;Positive;18
2019;1;Other;Negative;25
2019;1;Studies;Positive;166
2019;1;Studies;Negative;41
2019;1;Work;Positive;740
2019;1;Work;Negative;247
2019;2;Family;Positive;716
2019;2;Family;Negative;233
2019;2;Other;Positive;18
2019;2;Other;Negative;13
2019;2;Studies;Positive;67
2019;2;Studies;Negative;37
2019;2;Work;Positive;706
2019;2;Work;Negative;303
2019;3;Family;Positive;804
2019;3;Family;Negative;292
2019;3;Other;Positive;95
2019;3;Other;Negative;19
2019;3;Studies;Positive;51
2019;3;Studies;Negative;77
2019;3;Work;Positive;756
2019;3;Work;Negative;406
2019;4;Family;Positive;689
2019;4;Family;Negative;191
2019;4;Other;Positive;35
2019;4;Other;Negative;7
2019;4;Studies;Positive;40
2019;4;Studies;Negative;48
2019;4;Work;Positive;836
2019;4;Work;Negative;403
2019;5;Family;Positive;852
2019;5;Family;Negative;210
2019;5;Other;Positive;30
2019;5;Other;Negative;12
2019;5;Studies;Positive;161
2019;5;Studies;Negative;40
2019;5;Work;Positive;780
2019;5;Work;Negative;333
2019;6;Family;Positive;753
2019;6;Family;Negative;215
2019;6;Other;Positive;34
2019;6;Other;Negative;17
2019;6;Studies;Positive;573
2019;6;Studies;Negative;61
2019;6;Work;Positive;573
2019;6;Work;Negative;130
2019;7;Family;Positive;894
2019;7;Family;Negative;206
2019;7;Other;Positive;37
2019;7;Other;Negative;10
2019;7;Studies;Positive;1348
2019;7;Studies;Negative;80
2019;7;Work;Positive;744
2019;7;Work;Negative;266
2019;8;Family;Positive;860
2019;8;Family;Negative;262
2019;8;Other;Positive;55
2019;8;Other;Negative;18
2019;8;Studies;Positive;1252
2019;8;Studies;Negative;79
2019;8;Work;Positive;823
2019;8;Work;Negative;152
2019;9;Family;Positive;903
2019;9;Family;Negative;243
2019;9;Other;Positive;33
2019;9;Other;Negative;32
2019;9;Studies;Positive;356
2019;9;Studies;Negative;104
2019;9;Work;Positive;743
2019;9;Work;Negative;184
2019;10;Family;Positive;1131
2019;10;Family;Negative;298
2019;10;Other;Positive;44
2019;10;Other;Negative;12
2019;10;Studies;Positive;186
2019;10;Studies;Negative;108
2019;10;Work;Positive;1049
